series,date,division,desc_en,index
growth_mom,2023/2/1,13,Manufacture of textiles,3.778
growth_mom,2023/3/1,13,Manufacture of textiles,7.292
growth_mom,2023/4/1,13,Manufacture of textiles,-22.283
growth_mom,2023/5/1,13,Manufacture of textiles,1.994
growth_mom,2023/6/1,13,Manufacture of textiles,3.919
growth_mom,2023/7/1,13,Manufacture of textiles,-4.76
growth_mom,2023/8/1,13,Manufacture of textiles,4.138
growth_mom,2023/9/1,13,Manufacture of textiles,12.64
growth_mom,2023/10/1,13,Manufacture of textiles,-5.843
growth_mom,2023/11/1,13,Manufacture of textiles,9.989
growth_mom,2023/12/1,13,Manufacture of textiles,-11.676
growth_mom,2024/1/1,13,Manufacture of textiles,7.296
growth_mom,2024/2/1,13,Manufacture of textiles,3.283
growth_mom,2024/3/1,13,Manufacture of textiles,8.682
growth_mom,2024/4/1,13,Manufacture of textiles,-19.67
growth_mom,2024/5/1,13,Manufacture of textiles,5.075
growth_mom,2024/6/1,13,Manufacture of textiles,2.585
growth_mom,2024/7/1,13,Manufacture of textiles,-3.897
growth_mom,2024/8/1,13,Manufacture of textiles,2.352
growth_mom,2024/9/1,13,Manufacture of textiles,4.085
growth_mom,2024/10/1,13,Manufacture of textiles,-3.813
growth_mom,2024/11/1,13,Manufacture of textiles,10.898
growth_mom,2024/12/1,13,Manufacture of textiles,-10.342
growth_mom,2025/1/1,13,Manufacture of textiles,1.534
growth_mom,2025/2/1,13,Manufacture of textiles,3.186
abs,2015/1/1,14,Manufacture of wearing apparel,94.944
abs,2015/2/1,14,Manufacture of wearing apparel,89.292
abs,2015/3/1,14,Manufacture of wearing apparel,95.16
abs,2015/4/1,14,Manufacture of wearing apparel,100.058
abs,2015/5/1,14,Manufacture of wearing apparel,113.383
abs,2015/6/1,14,Manufacture of wearing apparel,89.34
abs,2015/7/1,14,Manufacture of wearing apparel,89.095
abs,2015/8/1,14,Manufacture of wearing apparel,89.118
abs,2015/9/1,14,Manufacture of wearing apparel,101.698
abs,2015/10/1,14,Manufacture of wearing apparel,113.322
abs,2015/11/1,14,Manufacture of wearing apparel,110.646
abs,2015/12/1,14,Manufacture of wearing apparel,113.945
abs,2016/1/1,14,Manufacture of wearing apparel,100.908
abs,2016/2/1,14,Manufacture of wearing apparel,97.228
abs,2016/3/1,14,Manufacture of wearing apparel,107.195
abs,2016/4/1,14,Manufacture of wearing apparel,106.519
abs,2016/5/1,14,Manufacture of wearing apparel,121.399
abs,2016/6/1,14,Manufacture of wearing apparel,103.57
abs,2016/7/1,14,Manufacture of wearing apparel,95.258
